360,20200717,3.08,3.25,3.03,3.1,697329
14D,20200717,0.185,0.185,0.145,0.165,1406659
14DO,20200717,0.007,0.008,0.007,0.008,25000
1AD,20200717,0.096,0.1,0.096,0.1,138223
1ADO,20200717,0.03,0.03,0.03,0.03,0
1AG,20200717,0.038,0.038,0.038,0.038,0
1AL,20200717,0.21,0.21,0.21,0.21,0
1ST,20200717,0.036,0.041,0.036,0.038,7424111
2BE,20200717,0.1,0.125,0.1,0.125,150000
3DA,20200717,0.16,0.16,0.16,0.16,74795
3DP,20200717,0.125,0.13,0.11,0.125,3820840
3PL,20200717,1.04,1.045,1.02,1.045,7759
4CE,20200717,0.012,0.012,0.012,0.012,0
4DS,20200717,0.045,0.046,0.044,0.045,1472780
5GN,20200717,1.15,1.175,1.13,1.15,336323
88E,20200717,0.005,0.005,0.004,0.005,7333377
8CO,20200717,0.07,0.07,0.064,0.064,744399
8EC,20200717,0.078,0.078,0.078,0.078,0
8IH,20200717,0.11,0.115,0.11,0.115,22300
8VI,20200717,0.6,0.6,0.6,0.6,0
9SP,20200717,0.029,0.029,0.029,0.029,0
A1G,20200717,0.14,0.14,0.135,0.135,37565
A1M,20200717,0.325,0.325,0.32,0.325,98933
A200,20200717,100.86,101.05,100.32,100.59,17981
A2B,20200717,0.775,0.795,0.77,0.78,34085
A2M,20200717,19.2,19.43,19.025,19.39,2694795
A3D,20200717,0.115,0.115,0.115,0.115,52500
A40,20200717,0.082,0.082,0.082,0.082,0
A4N,20200717,0.23,0.25,0.225,0.25,1687136
AAA,20200717,50.09,50.09,50.08,50.09,191911
AAC,20200717,1.055,1.065,1.045,1.055,292261
AAJ,20200717,0.005,0.005,0.005,0.005,4495000
AAP,20200717,0.018,0.018,0.018,0.018,0
AAR,20200717,0.14,0.155,0.135,0.155,858628
AASF,20200717,2.65,2.65,2.64,2.64,12739
ABA,20200717,4.77,4.82,4.7,4.7,5857
ABC,20200717,2.31,2.32,2.245,2.26,2504439
ABL,20200717,0.001,0.001,0.001,0.001,0
ABP,20200717,2.64,2.79,2.62,2.76,1566128
ABR,20200717,0.575,0.62,0.572,0.615,1776567
ABV,20200717,0.033,0.034,0.032,0.034,417904
ABW,20200717,0.19,0.19,0.19,0.19,0
ABX,20200717,0.11,0.11,0.11,0.11,24445
AC8,20200717,0.15,0.15,0.15,0.15,60407
ACB,20200717,0.01,0.01,0.01,0.01,1085388
ACDC,20200717,56.9,56.99,56.71,56.97,3433
ACF,20200717,0.3,0.3,0.3,0.3,20615
ACP,20200717,0.01,0.01,0.01,0.01,0
ACQ,20200717,0.935,0.935,0.9,0.905,211011
ACR,20200717,0.16,0.165,0.155,0.16,125398
ACS,20200717,0.005,0.005,0.005,0.005,0
ACU,20200717,0.085,0.085,0.085,0.085,0
ACW,20200717,0.023,0.023,0.023,0.023,1408488
AD1,20200717,0.033,0.034,0.028,0.034,5866478
AD8,20200717,5.35,5.6,5.23,5.5,468507
ADA,20200717,0.525,0.53,0.51,0.51,42967
ADD,20200717,0.02,0.02,0.016,0.016,101625
ADH,20200717,2.42,2.46,2.34,2.36,454648
ADI,20200717,2.48,2.53,2.48,2.5,110905
ADN,20200717,0.049,0.049,0.047,0.047,1455014
ADNOB,20200717,0.037,0.037,0.037,0.037,0
ADO,20200717,0.038,0.038,0.032,0.032,15629617
ADOO,20200717,0.015,0.015,0.015,0.015,0
ADOOA,20200717,0.017,0.017,0.017,0.017,600000
ADR,20200717,0.024,0.026,0.024,0.026,452692
ADS,20200717,0.019,0.02,0.019,0.02,254167
ADT,20200717,1.62,1.64,1.555,1.605,626095
ADV,20200717,0.013,0.014,0.011,0.013,88870595
ADX,20200717,0.007,0.007,0.007,0.007,140900
ADXOB,20200717,0.001,0.001,0.001,0.001,0
ADY,20200717,0.007,0.007,0.007,0.007,0
AEB,20200717,0.009,0.009,0.009,0.009,0
AEBO,20200717,0.002,0.002,0.002,0.002,0
AEE,20200717,0.004,0.004,0.004,0.004,0
AEF,20200717,6.41,6.47,6.2,6.26,181183
AEG,20200717,1.2,1.2,1.2,1.2,55198
AEI,20200717,0.64,0.64,0.605,0.63,378053
AER,20200717,0.12,0.12,0.115,0.115,64958
AEV,20200717,0.013,0.013,0.012,0.012,818784
AFA,20200717,0.06,0.06,0.06,0.06,0
AFG,20200717,1.59,1.63,1.58,1.61,2001738
AFI,20200717,6.16,6.16,6.11,6.12,218342
